source_dataset,flow_type,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
e-shop clothing 2008.csv,2,9,9,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,5,5,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,12,12,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,9,9,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,18,18,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,4,4,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,12,12,0,0,2,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,5,5,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,3,3,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,4,4,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,5,5,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,8,8,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,9,9,0,0,2,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,15,15,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,6,6,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,7,7,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,7,7,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,13,13,0,0,6,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,5,5,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,17,17,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,8,8,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,10,10,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,9,9,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,7,7,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,7,7,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,3,3,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,12,12,0,0,2,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,6,6,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,8,8,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,11,11,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,3,3,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,11,11,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,4,4,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,9,9,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,8,8,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,19,19,0,0,2,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,3,3,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,16,16,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,6,6,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,4,3,3,0,0,2,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,17,17,0,0,3,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,7,7,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,17,17,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,10,10,0,0,3,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,3,3,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,9,9,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,5,5,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,9,9,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,49,49,0,0,6,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,5,5,0,0,2,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,9,9,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,10,10,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,4,4,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,6,6,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,46,46,0,0,8,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,7,7,0,0,2,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,1,1,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,30,30,0,0,12,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,5,5,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,3,3,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,7,7,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,3,20,20,0,0,1,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,2,4,4,0,0,0,0,0,-1,-1,0,-1,Unlabeled
e-shop clothing 2008.csv,1,2,2,0,0,0,0,0,-1,-1,0,-1,Unlabeled
