source_dataset,flow_type,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
interaction_telemetry_large.csv,element_23,63.11687383,2,0,0,0,2,2,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_24,93.89223241,1,1,0,0,2,2,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_19,225.9073032,1,1,0,0,1,1,2.020351677333333,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_44,73.54048635,0,0,0,0,1,0,1.0740114699999999,1.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_15,11.73520718,0,0,0,0,1,0,1.534003329,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_17,89.48282762,1,0,0,0,0,0,0.77328714525,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_5,89.74429548,0,0,0,0,0,0,0.3332453741,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_17,50.16988717,0,0,0,0,1,0,1.34020893965,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_16,178.3757772,3,0,0,0,1,1,0.4306870995,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_20,134.8240016,2,0,0,0,0,0,0.46394024655,1.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_15,59.36709872,2,1,0,1,3,3,0.0,1.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_36,143.325145,2,0,0,0,1,1,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_24,44.00540024,1,0,0,0,1,1,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_25,360.8060101,0,0,0,0,0,0,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_20,242.5080805,1,1,0,0,3,3,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_19,133.5081853,0,1,0,0,1,0,1.3667006851999999,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_37,54.20294627,2,0,0,0,1,1,0.575404664,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_17,278.2044743,0,1,0,0,2,0,0.36051127252500004,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_13,80.52406411,1,0,0,0,1,1,1.9005912306666666,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_16,55.06983536,0,2,0,0,1,0,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_10,36.68233806,0,3,0,0,1,0,0.2092542388,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_40,66.80812754,0,0,0,0,2,0,0.3386646357,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_26,78.72734914,0,0,0,0,1,0,0.5995483986,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_15,104.1229562,1,1,0,0,2,2,0.5475457579999999,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_19,35.98594565,0,0,0,0,2,0,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_44,61.10011707,1,0,0,0,1,1,1.8453857255000001,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_23,109.9933726,1,1,0,0,0,0,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_13,36.79225838,1,0,0,0,1,1,1.0393911443333335,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_25,30.12534121,1,0,0,0,1,1,0.0,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_26,24.35733977,1,0,0,1,2,2,2.0522456916,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_19,23.0288164,2,0,0,0,1,1,0.09884160573333332,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,unknown,90.95760267,0,0,0,1,4,0,1.681384775,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_39,161.7494156,0,1,0,0,2,0,1.77180543,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_12,147.3677305,1,0,0,0,1,1,4.9891330905,0.0,0,-1,Unlabeled
interaction_telemetry_large.csv,element_12,131.6770398,2,0,0,0,2,2,1.0103039785999999,0.0,0,-1,Unlabeled
