source_dataset,flow_type,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
interactions.csv,https://docs.google.com/,4.900000021734741e-06,0,50,0,0,0,0,9.800000043469481e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.overleaf.com/,2.325999957975e-06,0,50,30,0,0,0,4.65199991595e-08,-1,0,-1,Unlabeled
interactions.csv,https://deltabit.co/,4.890999889539671e-06,0,50,0,0,0,0,9.781999779079343e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.facebook.com/,0.0002164160000575066,1,50,0,0,0,0,4.328320001150132e-06,-1,0,-1,Unlabeled
interactions.csv,https://web.whatsapp.com/,1.909000047817244e-06,0,50,17,0,0,0,3.818000095634489e-08,-1,0,-1,Unlabeled
interactions.csv,http://blog.beforemario.com/,3.2980001378746238e-06,0,50,0,0,0,0,6.596000275749247e-08,-1,0,-1,Unlabeled
interactions.csv,https://app.grammarly.com/,9.96000153463683e-07,0,50,0,0,0,0,1.9920003069273663e-08,-1,0,-1,Unlabeled
interactions.csv,https://mail.google.com/,1.2119999155402184e-06,0,50,0,0,0,0,2.4239998310804367e-08,-1,0,-1,Unlabeled
interactions.csv,https://ees.elsevier.com/,4.90100001115934e-06,0,50,0,0,0,0,9.80200002231868e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.york.ac.uk/,2.204999873356428e-06,0,50,0,0,0,0,4.409999746712856e-08,-1,0,-1,Unlabeled
interactions.csv,https://webapps.unitn.it/,4.889000138064148e-06,0,50,0,0,0,0,9.778000276128296e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.bose.it/,1.258000111192814e-06,0,50,0,0,0,0,2.516000222385628e-08,-1,0,-1,Unlabeled
interactions.csv,https://elearning.unisi.it/,4.907999937131535e-06,0,50,0,0,0,0,9.81599987426307e-08,-1,0,-1,Unlabeled
interactions.csv,https://mercati.ilsole24ore.com/,5.1479999001458054e-06,0,50,0,0,0,0,1.029599980029161e-07,-1,0,-1,Unlabeled
interactions.csv,https://www.facebook.com/,3.870999989885604e-06,0,50,12,0,0,0,7.741999979771208e-08,-1,0,-1,Unlabeled
interactions.csv,https://forskning.ruc.dk/,1.4039999314263696e-06,50,50,0,9,0,0,2.807999862852739e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.overleaf.com/,4.899000032310141e-06,0,50,0,0,0,0,9.798000064620282e-08,-1,0,-1,Unlabeled
interactions.csv,http://www.allevamentodellalaguna.it/,4.902000000583939e-06,0,50,0,0,0,0,9.804000001167878e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.disneyplus.com/,4.902000000583939e-06,0,50,0,0,0,0,9.804000001167878e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.mediasetplay.mediaset.it/,4.902999990008539e-06,0,50,0,0,0,0,9.805999980017077e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.google.com/,1.1219999578315765e-06,0,50,0,0,0,0,2.243999915663153e-08,-1,0,-1,Unlabeled
interactions.csv,https://marleyacademy.ddns.net/,1.1929998890991556e-06,0,50,0,0,0,0,2.3859997781983112e-08,-1,0,-1,Unlabeled
interactions.csv,https://fscgroup.ddns.net/,8.170000000973232e-07,0,50,0,0,0,0,1.6340000001946465e-08,-1,0,-1,Unlabeled
interactions.csv,https://web.whatsapp.com/,4.90100001115934e-06,0,50,0,0,0,0,9.80200002231868e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.facebook.com/,1.0599000006550341e-05,1,50,0,0,0,0,2.1198000013100682e-07,-1,0,-1,Unlabeled
interactions.csv,https://www.gnula.cc/,4.899999794361065e-06,50,50,0,9,0,0,9.79999958872213e-08,-1,0,-1,Unlabeled
interactions.csv,https://marleyacademy.ddns.net/,2.2090000584285008e-06,13,50,0,1,0,0,4.418000116857002e-08,-1,0,-1,Unlabeled
interactions.csv,https://eu.polaroid.com/,4.51300002168864e-06,0,50,0,0,0,0,9.02600004337728e-08,-1,0,-1,Unlabeled
interactions.csv,http://www.srlmetroquadro.com/,1.0900000688707223e-06,2,50,0,0,0,0,2.1800001377414446e-08,-1,0,-1,Unlabeled
interactions.csv,https://deltabit.co/,4.909999915980734e-06,0,50,0,0,0,0,9.819999831961467e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.overleaf.com/,2.0009999843750848e-06,0,50,0,0,0,0,4.0019999687501697e-08,-1,0,-1,Unlabeled
interactions.csv,https://calendar.google.com/,4.8889999106904725e-06,0,50,0,0,0,0,9.777999821380944e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.reverso.net/,1.894999968499178e-06,0,50,8,0,0,0,3.789999936998356e-08,-1,0,-1,Unlabeled
interactions.csv,https://drive.google.com/,4.897000053460943e-06,0,50,0,0,0,0,9.794000106921885e-08,-1,0,-1,Unlabeled
interactions.csv,https://wetransfer.com/,4.896000064036343e-06,0,50,2,0,0,0,9.792000128072686e-08,-1,0,-1,Unlabeled
interactions.csv,https://nomicosecittaonline.net/,9.000000318337698e-07,0,50,0,0,0,0,1.8000000636675394e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.google.com/,2.097999868055922e-06,3,50,0,0,0,0,4.195999736111844e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.uniba.it/,9.149999868895975e-06,0,50,0,0,0,0,1.829999973779195e-07,-1,0,-1,Unlabeled
interactions.csv,https://www.mediasetplay.mediaset.it/,4.899000032310141e-06,0,50,0,0,0,0,9.798000064620282e-08,-1,0,-1,Unlabeled
interactions.csv,https://scerpa.ict.uniba.it/,1.1639999684120994e-06,4,50,0,0,0,0,2.327999936824199e-08,-1,0,-1,Unlabeled
interactions.csv,https://didatticaonline.unitn.it/,4.895000074611744e-06,0,50,0,0,0,0,9.790000149223488e-08,-1,0,-1,Unlabeled
interactions.csv,https://classroom.google.com/,1.2010000318696257e-06,0,50,0,0,0,0,2.4020000637392514e-08,-1,0,-1,Unlabeled
interactions.csv,https://drive.google.com/,4.899000032310141e-06,0,50,0,0,0,0,9.798000064620282e-08,-1,0,-1,Unlabeled
interactions.csv,https://deltabit.co/,4.895000074611744e-06,0,50,0,0,0,0,9.790000149223488e-08,-1,0,-1,Unlabeled
interactions.csv,https://app.grammarly.com/,4.894000085187145e-06,0,50,0,0,0,0,9.788000170374289e-08,-1,0,-1,Unlabeled
interactions.csv,https://docs.google.com/,4.900000021734741e-06,0,50,0,0,0,0,9.800000043469481e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.linkedin.com/,3.600999889386003e-06,4,50,0,0,0,0,7.201999778772006e-08,-1,0,-1,Unlabeled
interactions.csv,https://drive.google.com/,2.4149999262590427e-06,3,50,0,0,0,0,4.829999852518086e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.amazon.it/,4.613999863067875e-06,0,50,0,0,0,0,9.227999726135749e-08,-1,0,-1,Unlabeled
interactions.csv,https://web.whatsapp.com/,4.898999804936466e-06,0,50,0,0,0,0,9.797999609872932e-08,-1,0,-1,Unlabeled
interactions.csv,https://app.grammarly.com/,3.515000116749434e-06,0,50,13,0,0,0,7.030000233498867e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.studenti.ict.uniba.it/,4.906000185656012e-06,0,50,0,0,0,0,9.812000371312025e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.repubblica.it/,4.890000127488747e-06,0,50,0,0,0,0,9.780000254977495e-08,-1,0,-1,Unlabeled
interactions.csv,https://marleyacademy.ddns.net/,2.195999968535034e-06,0,50,0,0,0,0,4.391999937070068e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.youtube.com/,1.660999942032504e-06,5,50,0,0,0,0,3.321999884065008e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.youtube.com/,1.6340000001946464e-06,4,50,0,0,0,0,3.268000000389293e-08,-1,0,-1,Unlabeled
interactions.csv,https://mail.google.com/,2.032999873335939e-06,0,50,46,0,0,0,4.065999746671878e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.mediasetplay.mediaset.it/,2.1920000108366366e-06,2,50,0,0,0,0,4.384000021673273e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.mediasetplay.mediaset.it/,4.899000032310141e-06,0,50,0,0,0,0,9.798000064620282e-08,-1,0,-1,Unlabeled
interactions.csv,https://www.facebook.com/,4.301999979361426e-06,0,50,3,0,0,0,8.603999958722852e-08,-1,0,-1,Unlabeled
interactions.csv,https://marleyacademy.ddns.net/,7.213999879240873e-06,23,50,2,3,0,0,1.4427999758481747e-07,-1,0,-1,Unlabeled
