source_dataset,flow_type,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
interactions.csv,http://www.srlmetroquadro.com/,4.903999805,0,50,0,0,0,0,0.098079996,-1,0,-1,Low
interactions.csv,https://doc-00-74-apps-viewer.googleusercontent.com/,4.895999908,0,50,0,0,0,0,0.097919998,-1,0,-1,Low
interactions.csv,https://mail.google.com/,1.73300004,8,50,0,0,0,0,0.034660001,-1,0,-1,Low
interactions.csv,https://docs.google.com/,1.097999811,24,50,0,3,0,0,0.021959996,-1,0,-1,Medium
interactions.csv,https://deltabit.co/,3.203999996,0,50,2,0,0,0,0.06408,-1,0,-1,Low
interactions.csv,https://lichess.org/,1.610000134,0,50,0,0,0,0,0.032200003,-1,0,-1,Low
interactions.csv,https://www.overleaf.com/,1.523999929,0,50,0,0,0,0,0.030479999,-1,0,-1,Low
interactions.csv,https://docs.google.com/,2.269000053,2,50,0,0,0,0,0.045380001,-1,0,-1,Low
interactions.csv,https://deltabit.co/,4.178999901,0,50,8,0,0,0,0.083579998,-1,0,-1,Low
interactions.csv,https://deltabit.co/,4.963000059,0,50,0,0,0,0,0.099260001,-1,0,-1,Low
e-shop clothing 2008.csv,category_4_page_3,13,13,-1,-1,2,0,0,-1,-1,0,-1,Medium
interactions.csv,https://mail.google.com/,4.700000048,41,50,0,7,0,0,0.094000001,-1,0,-1,Medium
interactions.csv,https://docs.google.com/,4.015999794,0,50,0,0,0,0,0.080319996,-1,0,-1,Low
interaction_telemetry_large.csv,element_16,212.8762893,1,0,0,0,1,1,0.351134012,0,0,-1,High
interactions.csv,https://www.paypal.com/,1.778999805,2,50,0,0,0,0,0.035579996,-1,0,-1,Low
interactions.csv,https://deltabit.co/,1.929999828,0,50,0,0,0,0,0.038599997,-1,0,-1,Low
e-shop clothing 2008.csv,category_4_page_1,17,17,-1,-1,0,0,0,-1,-1,0,-1,Medium
interactions.csv,https://www.overleaf.com/,1.634000063,50,50,0,9,0,0,0.032680001,-1,0,-1,Medium
interaction_telemetry_large.csv,element_15,66.43763205,0,3,0,0,2,0,0.254247407,0,0,-1,High
interactions.csv,https://didatticaonline.unitn.it/,3.747999907,2,50,0,0,0,0,0.074959998,-1,0,-1,Low
interaction_telemetry_large.csv,element_29,186.3247569,1,1,0,0,2,2,0,0,0,-1,High
interactions.csv,https://laconfraternitadellapizza.forumfree.it/,0.732999802,0,50,0,0,0,0,0.014659996,-1,0,-1,Low
interactions.csv,https://elearning.unisi.it/,4.893999815,50,50,0,9,0,0,0.097879996,-1,0,-1,Medium
interactions.csv,https://smallpdf.com/,107388.981,0,50,0,0,0,0,2147.77962,-1,0,-1,Medium
interactions.csv,https://mail.google.com/,3.5,32,50,0,5,0,0,0.07,-1,0,-1,Medium
