source_dataset,flow_type,completion_time_ms,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,task_completed,friction_score,friction_level
feature_engineered_interaction_dataset,web_interaction,99.34045604,1,0,0,0,1,1,0.0,12.0,High
feature_engineered_interaction_dataset,web_interaction,3.0,3,0,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,24.0,24,0,0,3,0,0,,8.0,Medium
feature_engineered_interaction_dataset,web_interaction,7.0,7,0,0,1,0,0,,4.0,Low
feature_engineered_interaction_dataset,web_interaction,1.0,1,0,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.915000090477406e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,5.0,5,0,0,0,0,0,,1.0,Low
feature_engineered_interaction_dataset,web_interaction,1.12500015347905e-06,1,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.887999921265873e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.90100001115934e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.897000053460943e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.912000122203608e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,21.0,21,0,0,1,0,0,,6.0,Medium
feature_engineered_interaction_dataset,web_interaction,4.0,4,0,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,9.0,9,0,0,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,195.9431211,0,1,0,0,2,0,0.0,11.0,High
feature_engineered_interaction_dataset,web_interaction,1.999999994950485e-06,0,50,25,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,3.0360001801454928e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.896000064036343e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,1.6439998944406398e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,2.0,2,0,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,5.0,5,0,0,1,0,0,,3.0,Low
feature_engineered_interaction_dataset,web_interaction,25.0,25,0,0,4,0,0,,8.0,Medium
feature_engineered_interaction_dataset,web_interaction,6.185000074765412e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.909999915980734e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.143000069234404e-06,4,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,13.0,13,0,0,1,0,0,,5.0,Medium
feature_engineered_interaction_dataset,web_interaction,4.899000032310141e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,2.0,2,0,0,1,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,1.005000058285077e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,1.1199999789823778e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,2.1719999949709745e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,6.0939999912079656e-05,0,50,1,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,4.926999963572598e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,41.58399672,0,0,0,0,1,0,0.0,9.0,Medium
feature_engineered_interaction_dataset,web_interaction,4.904999968857737e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,6.0,6,0,0,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,4.902000000583939e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,56.0,56,0,0,24,0,0,,8.0,Medium
feature_engineered_interaction_dataset,web_interaction,2.3039999632601398e-06,0,50,29,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,3.5319999369676225e-06,0,50,16,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,4.613999863067875e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,9.0,9,0,0,1,0,0,,4.0,Low
feature_engineered_interaction_dataset,web_interaction,8.0,8,0,0,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,31.0,31,0,0,9,0,0,,8.0,Medium
feature_engineered_interaction_dataset,web_interaction,4.912999884254532e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,7.0,7,0,0,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,22.0,22,0,0,0,0,0,,4.0,Low
feature_engineered_interaction_dataset,web_interaction,1.6640001376799771e-06,1,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,8.0,8,0,0,2,0,0,,4.0,Low
feature_engineered_interaction_dataset,web_interaction,7.382999910987564e-06,1,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,5.770999905507779e-06,2,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,10.0,10,0,0,3,0,0,,6.0,Medium
feature_engineered_interaction_dataset,web_interaction,4.900000021734741e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.0490001538273646e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,11.0,11,0,0,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,4.710999974122387e-06,0,50,1,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,4.905999958282337e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.896999826087267e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,2.0909999420837262e-06,0,50,36,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,1.9529998098732904e-06,0,50,23,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,7.0,7,0,0,4,0,0,,6.0,Medium
feature_engineered_interaction_dataset,web_interaction,3.0679998417326715e-06,0,50,16,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,1.1359998097759672e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,1.7150000530818945e-06,0,50,50,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,1.5010000424808825e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.785999863088364e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,0.0004194680000182,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.914000101052807e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,84.64150359,0,1,0,0,1,0,0.0,9.0,Medium
feature_engineered_interaction_dataset,web_interaction,95.55392661,2,1,0,0,2,2,1.0,12.0,High
feature_engineered_interaction_dataset,web_interaction,171.8381418,2,0,0,0,3,3,1.0,12.0,High
feature_engineered_interaction_dataset,web_interaction,10.0,10,0,0,0,0,0,,2.0,Low
feature_engineered_interaction_dataset,web_interaction,4.604999958246481e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,0.0007798019998972,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,4.898000042885542e-06,0,50,0,0,0,0,,0.0,Low
feature_engineered_interaction_dataset,web_interaction,1.6748000007282826e-05,2,50,0,0,0,0,,0.0,Low
