run_id,source_dataset,flow_type,page_url,friction_scenario,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
cta_good_1778588579880_11gdzt,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,723,1,0,0,0,0,0,453,1,3,-1,Low
cta_medium_1778588580678_bi17ey,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,2993,1,0,0,1,0,1,1926,1,3,1,Medium
cta_bad_1778588583737_sll32u,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4253,2,1,0,1,0,1,3919,1,4,0,High
landing_good_1778588588061_bq2dda,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,1058,1,0,0,0,0,0,919,1,3,-1,Low
landing_medium_1778588589175_igqf9f,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2165,1,1,1,0,0,0,1924,1,3,1,Medium
landing_bad_1778588591396_80z4dw,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3256,2,1,0,1,0,1,2937,1,4,0,High
login_good_1778588594717_uefeeb,playwright_dummy_website,login,http://localhost:3000/login-good,good,602,1,0,2,0,0,0,395,1,3,2,Low
login_medium_1778588595375_9v1t8d,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2243,2,0,3,1,1,0,1934,1,4,1,Medium
login_bad_1778588597682_5t9m19,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4396,3,1,3,2,1,1,3936,1,5,0,High
search_good_1778588602137_e7y23t,playwright_dummy_website,search,http://localhost:3000/search-good,good,603,1,0,1,0,0,0,422,1,3,2,Low
search_medium_1778588602796_2scavo,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3022,1,0,1,1,0,1,1914,1,3,1,Medium
search_bad_1778588605871_ezcxf2,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,3400,3,1,1,2,1,1,2924,1,5,0,High
signup_bad_1778588609326_i2cltx,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3484,4,1,4,2,1,1,2920,1,5,0,High
signup_good_1778588612866_r7w9j4,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,621,1,0,3,0,0,0,412,1,3,2,Low
