scenario_type,row_count
hidden_cta,1890
layout_shift,1890
popup_blocking,1890
timeout,1890
normal_landing,945
extra_content,945
slow_page_load,945
wrong_navigation_path,945
normal_signup,945
extra_form_fields,945
hidden_submit_vague_error,945
vague_error_message,945
disabled_button_blocked_submit,945
normal_login,945
wrong_first_attempt,945
fake_login_button,945
form_validation_error,945
normal_search,945
unclear_search_control,945
hidden_search_button,945
slow_button_response,945
no_result_error,945
normal_cta,945
indirect_cta_text,945
hidden_cta_requires_scroll,945
cookie_banner_blocking,945
overlay_blocks_cta,945
small_click_target,945
