flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level
landing_navigation,normal_landing,desktop,fast,1,0,1.136,1,0,0,0,0,0,0,0,92,92,42,101,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.049,1,0,0,0,0,0,0,0,72,72,35,83,53,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.918,1,0,0,0,0,0,0,0,88,88,57,109,83,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.113,1,0,0,0,0,0,0,0,36,35,24,117,91,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.125,1,0,0,0,0,0,0,0,101,101,67,106,78,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.935,1,0,0,0,0,0,0,0,87,87,48,103,75,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.022,1,0,0,0,0,0,0,0,62,61,51,106,76,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.078,1,0,0,0,0,0,0,0,74,73,63,98,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.065,1,0,0,0,0,0,0,0,98,97,87,90,64,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.98,1,0,0,0,0,0,0,0,80,80,46,96,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.972,1,0,0,0,0,0,0,0,62,61,51,87,62,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.992,1,0,0,0,0,0,0,0,67,67,58,120,92,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.017,1,0,0,0,0,0,0,0,41,41,29,105,80,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.045,1,0,0,0,0,0,0,0,110,110,77,103,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.073,1,0,0,0,0,0,0,0,81,80,67,136,97,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.951,1,0,0,0,0,0,0,0,49,48,33,116,83,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.067,1,0,0,0,0,0,0,0,74,74,62,102,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.039,1,0,0,0,0,0,0,0,108,108,68,108,78,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.131,1,0,0,0,0,0,0,0,78,78,66,111,82,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.915,1,0,0,0,0,0,0,0,55,55,44,93,66,0,0,-1,0,0,0,0,Low
