run_id,source,flow_type,page_url,friction_scenario,completion_time,click_count,scroll_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,expected_friction_level
cta_good_1778502786985,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,702,1,0,0,0,0,423,1,2,Low
cta_medium_1778502787836,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,3118,1,0,1,0,1,2978,1,3,Medium
cta_bad_1778502791102,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4280,1,1,1,0,1,4084,1,4,High
landing_good_1778502795532,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,558,1,0,0,0,0,426,1,2,Low
landing_medium_1778502796233,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2087,1,0,0,0,0,1944,1,2,Medium
landing_bad_1778502798454,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3242,1,1,0,0,0,2923,1,4,High
login_good_1778502801821,playwright_dummy_website,login,http://localhost:3000/login-good,good,695,1,0,0,0,0,404,1,3,Low
login_medium_1778502802634,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2121,1,0,0,0,0,1930,1,3,Medium
login_bad_1778502804870,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4163,1,0,1,0,1,3981,1,4,High
search_good_1778502809160,playwright_dummy_website,search,http://localhost:3000/search-good,good,599,1,0,0,0,0,418,1,3,Low
search_medium_1778502809869,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3184,1,0,1,0,1,3002,1,4,Medium
search_bad_1778502813168,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,4363,1,1,1,0,1,4101,1,5,High
signup_bad_1778502817668,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3323,1,1,0,0,0,2954,1,4,High
signup_good_1778502821113,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,639,1,0,0,0,0,487,1,3,Low
signup_medium_1778502821870,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2120,1,0,0,0,0,1924,1,3,Medium
