flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level
landing_navigation,layout_shift,desktop,normal,1,0,3.608,1,0,0,0,0,0,0,0,489,489,476,112,85,0.0006,0,1,0,0,0,0,Low
landing_navigation,layout_shift,desktop,normal,1,0,2.249,1,0,0,0,0,0,0,0,430,430,419,109,80,0,0,1,0,0,0,0,Low
landing_navigation,layout_shift,tablet,normal,1,0,2.569,1,0,0,0,0,0,0,0,354,354,342,109,81,0.0066,0,1,0,0,0,0,Low
landing_navigation,layout_shift,tablet,normal,1,0,3.873,1,0,0,0,0,0,0,0,561,561,527,86,58,0.0009,0,1,0,0,0,0,Low
landing_navigation,layout_shift,mobile,normal,1,0,2.11,1,0,0,0,0,0,0,0,319,318,308,95,68,0,0,1,0,0,0,0,Low
landing_navigation,layout_shift,mobile,normal,1,0,3.715,1,0,0,0,0,0,0,0,462,462,452,90,63,0,0,1,0,0,0,0,Low
landing_navigation,popup_blocking,desktop,normal,1,0,6.115,2,0,0,1,0,0,0,2,1401,1401,1370,85,60,0,0,0,1,0,1,34,Medium
landing_navigation,popup_blocking,desktop,normal,1,0,5.592,2,0,0,1,0,0,0,2,1136,1136,1098,85,59,0,0,0,1,0,1,34,Medium
landing_navigation,popup_blocking,tablet,normal,1,0,6.771,2,0,0,1,0,0,0,2,1431,1431,1397,84,61,0,0,0,1,0,1,34,Medium
landing_navigation,popup_blocking,tablet,normal,1,0,4.16,2,0,0,1,0,0,0,2,883,883,849,85,60,0,0,0,1,0,1,34,Medium
landing_navigation,popup_blocking,mobile,normal,1,0,6.64,2,0,0,1,0,0,0,2,1170,1170,1132,85,60,0,0,0,1,0,1,34,Medium
landing_navigation,popup_blocking,mobile,normal,1,0,7.373,2,0,0,1,0,0,0,2,1296,1296,1265,83,53,0,0,0,1,0,1,34,Medium
signup,layout_shift,desktop,normal,1,0,16.502,2,0,0,1,1,0,0,2,1304,1300,1288,21,24,0.0051,0,0,0,0,0,22,Medium
signup,layout_shift,desktop,normal,1,0,14.723,2,0,0,1,1,0,0,2,1194,1189,1178,19,24,0.0052,0,0,0,0,0,22,Medium
signup,layout_shift,tablet,normal,1,0,14.415,2,0,0,1,1,0,0,2,653,649,638,18,16,0.0061,0,0,0,0,0,22,Medium
signup,layout_shift,tablet,normal,1,0,16.361,2,0,0,1,1,0,0,2,1210,1205,1194,17,16,0.0059,0,0,0,0,0,22,Medium
signup,layout_shift,mobile,normal,1,0,15.968,2,0,0,1,1,0,0,2,1319,1314,1304,19,16,0.0313,0,0,0,0,0,22,Medium
signup,layout_shift,mobile,normal,1,0,15.872,2,0,0,1,1,0,0,2,1335,1331,1318,18,16,0.0273,0,0,0,0,0,22,Medium
signup,disabled_button_blocked_submit,desktop,normal,0,1,14.883,1,0,0,1,3,1,0,7,692,692,655,18,32,0,1,0,1,0,1,111,High
signup,disabled_button_blocked_submit,desktop,normal,0,1,16.452,1,0,0,1,2,0,0,5,1538,1538,1502,18,24,0,1,0,1,0,1,94,High
signup,disabled_button_blocked_submit,tablet,normal,0,1,15.289,1,0,0,1,3,1,0,7,1100,1100,1068,18,24,0,1,0,1,0,1,111,High
signup,disabled_button_blocked_submit,tablet,normal,0,1,15.865,1,0,0,1,2,0,0,5,936,936,898,18,24,0,1,0,1,0,1,94,High
signup,disabled_button_blocked_submit,mobile,normal,0,1,14.278,2,0,0,1,2,0,0,5,897,897,860,17,16,0,1,0,1,0,1,94,High
signup,disabled_button_blocked_submit,mobile,normal,0,1,15.504,1,8,0,1,3,1,0,7,1335,1335,1285,19,0,0,1,0,1,0,1,114,High
login,popup_blocking,desktop,normal,1,0,5.98,1,0,0,1,0,0,0,2,1402,1402,1369,33,24,0,0,0,1,0,1,34,Medium
login,popup_blocking,desktop,normal,1,0,6.435,1,0,0,1,0,0,0,2,1552,1552,1521,30,16,0,0,0,1,0,1,34,Medium
login,popup_blocking,tablet,normal,1,0,4.869,1,0,0,1,0,0,0,2,861,861,830,31,24,0,0,0,1,0,1,34,Medium
login,popup_blocking,tablet,normal,1,0,4.387,1,0,0,1,0,0,0,2,1060,1060,1021,31,16,0,0,0,1,0,1,34,Medium
login,popup_blocking,mobile,normal,1,0,6.741,1,0,0,1,0,0,0,2,1282,1282,1247,29,16,0,0,0,1,0,1,34,Medium
login,popup_blocking,mobile,normal,1,0,5.48,1,0,0,1,0,0,0,2,1097,1097,1066,29,16,0,0,0,1,0,1,34,Medium
cta_click,cookie_banner_blocking,desktop,normal,1,0,2.848,2,0,0,1,0,0,0,2,395,395,357,100,74,0,0,1,0,1,0,15,Low
cta_click,cookie_banner_blocking,desktop,normal,1,0,3.583,2,0,0,1,0,0,0,2,916,916,887,81,57,0,0,1,0,1,0,15,Low
cta_click,cookie_banner_blocking,tablet,normal,1,0,3.964,2,0,0,1,0,0,0,2,893,893,864,78,54,0,0,1,0,1,0,15,Low
cta_click,cookie_banner_blocking,tablet,normal,1,0,2.942,2,0,0,1,0,0,0,2,784,784,756,80,56,0,0,1,0,1,0,15,Low
cta_click,cookie_banner_blocking,mobile,normal,1,0,2.142,2,0,0,1,0,0,0,2,341,341,312,78,54,0,0,1,0,1,0,15,Low
cta_click,cookie_banner_blocking,mobile,normal,1,0,3.074,2,0,0,1,0,0,0,2,808,808,780,78,55,0,0,1,0,1,0,15,Low
cta_click,overlay_blocks_cta,desktop,normal,0,1,14.814,0,0,0,0,2,1,0,5,1315,1315,1286,0,0,0,0,0,1,0,1,88,High
cta_click,overlay_blocks_cta,desktop,normal,0,1,14.688,0,0,0,0,2,1,0,5,1151,1151,1121,0,0,0,0,0,1,0,1,88,High
cta_click,overlay_blocks_cta,tablet,normal,0,1,6.409,1,0,0,0,1,0,0,3,1446,1446,1413,94,67,0,1,0,1,0,1,75,High
cta_click,overlay_blocks_cta,tablet,normal,0,1,14.319,0,0,0,0,2,1,0,5,802,802,773,0,0,0,0,0,1,0,1,88,High
cta_click,overlay_blocks_cta,mobile,normal,0,1,5.859,1,0,0,0,1,0,0,3,909,909,879,96,71,0,1,0,1,0,1,75,High
cta_click,overlay_blocks_cta,mobile,normal,0,1,14.616,0,3,0,0,2,1,0,5,1094,1094,1060,0,0,0,0,0,1,0,1,91,High
