run_id,source,flow_type,page_url,friction_scenario,completion_time,click_count,scroll_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,expected_friction_level
signup_good_1778501042124,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1600,1,0,0,0,0,1088,1,3,Low
signup_good_1778501043047,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1559,1,0,0,0,0,538,1,3,Low
signup_good_1778501044601,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,744,0,0,0,1,0,0,0,1,Low
signup_good_1778501081925,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1054,1,0,0,0,0,562,1,3,Low
signup_good_1778501081759,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,1552,1,0,0,0,0,1023,1,3,Low
signup_good_1778501084097,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,636,0,0,0,1,0,0,0,1,Low
signup_good_1778501446367,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,988,1,0,0,0,0,543,1,3,Low
signup_good_1778501569095,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,930,1,0,0,0,0,518,1,3,Low
signup_bad_1778501635636,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3564,1,1,0,0,0,2950,1,4,High
signup_bad_1778501666896,playwright_dummy_website,signup,http://localhost:3000/signup-bad,bad,3560,1,1,0,0,0,2952,1,4,High
signup_good_1778501670632,playwright_dummy_website,signup,http://localhost:3000/signup-good,good,674,1,0,0,0,0,524,1,3,Low
signup_medium_1778501671527,playwright_dummy_website,signup,http://localhost:3000/signup-medium,medium,2160,1,0,0,0,0,1947,1,3,Medium
login_good_1778501857224,playwright_dummy_website,login,http://localhost:3000/login-good,good,915,1,0,0,0,0,421,1,3,Low
login_medium_1778501858310,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2182,1,0,0,0,0,1943,1,3,Medium
login_bad_1778501860658,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4179,1,0,1,0,1,4006,1,4,High
login_good_1778502480721,playwright_dummy_website,login,http://localhost:3000/login-good,good,892,1,0,0,0,0,423,1,3,Low
login_medium_1778502481773,playwright_dummy_website,login,http://localhost:3000/login-medium,medium,2197,1,0,0,0,0,1940,1,3,Medium
login_bad_1778502484163,playwright_dummy_website,login,http://localhost:3000/login-bad,bad,4227,1,0,1,0,1,3990,1,4,High
landing_good_1778502493159,playwright_dummy_website,landing,http://localhost:3000/landing-good,good,721,1,0,0,0,0,432,1,2,Low
landing_medium_1778502494052,playwright_dummy_website,landing,http://localhost:3000/landing-medium,medium,2052,1,0,0,0,0,1926,1,2,Medium
landing_bad_1778502496300,playwright_dummy_website,landing,http://localhost:3000/landing-bad,bad,3349,1,1,0,0,0,2952,1,4,High
cta_good_1778502526908,playwright_dummy_website,cta,http://localhost:3000/cta-good,good,714,1,0,0,0,0,424,1,2,Low
cta_medium_1778502527786,playwright_dummy_website,cta,http://localhost:3000/cta-medium,medium,3115,1,0,1,0,1,2981,1,3,Medium
cta_bad_1778502531032,playwright_dummy_website,cta,http://localhost:3000/cta-bad,bad,4291,1,1,1,0,1,4093,1,4,High
search_good_1778502637165,playwright_dummy_website,search,http://localhost:3000/search-good,good,861,1,0,0,0,0,419,1,3,Low
search_medium_1778502638191,playwright_dummy_website,search,http://localhost:3000/search-medium,medium,3186,1,0,1,0,1,2996,1,4,Medium
search_bad_1778502641523,playwright_dummy_website,search,http://localhost:3000/search-bad,bad,4370,1,1,1,0,1,4109,1,5,High
