completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,task_completed,friction_level
1.136,1,0,0,0,0,0,1,Low
1.049,1,0,0,0,0,0,1,Low
0.918,1,0,0,0,0,0,1,Low
1.113,1,0,0,0,0,0,1,Low
1.125,1,0,0,0,0,0,1,Low
0.935,1,0,0,0,0,0,1,Low
1.022,1,0,0,0,0,0,1,Low
1.078,1,0,0,0,0,0,1,Low
1.065,1,0,0,0,0,0,1,Low
0.98,1,0,0,0,0,0,1,Low
0.972,1,0,0,0,0,0,1,Low
0.992,1,0,0,0,0,0,1,Low
1.017,1,0,0,0,0,0,1,Low
1.045,1,0,0,0,0,0,1,Low
1.073,1,0,0,0,0,0,1,Low
0.951,1,0,0,0,0,0,1,Low
1.067,1,0,0,0,0,0,1,Low
1.039,1,0,0,0,0,0,1,Low
1.131,1,0,0,0,0,0,1,Low
0.915,1,0,0,0,0,0,1,Low
1.087,1,0,0,0,0,0,1,Low
0.932,1,0,0,0,0,0,1,Low
1.05,1,0,0,0,0,0,1,Low
1.006,1,0,0,0,0,0,1,Low
1.118,1,0,0,0,0,0,1,Low
1.078,1,0,0,0,0,0,1,Low
1.091,1,0,0,0,0,0,1,Low
0.99,1,0,0,0,0,0,1,Low
0.987,1,0,0,0,0,0,1,Low
0.988,1,0,0,0,0,0,1,Low
0.953,1,0,0,0,0,0,1,Low
0.907,1,0,0,0,0,0,1,Low
0.957,1,0,0,0,0,0,1,Low
0.926,1,0,0,0,0,0,1,Low
0.996,1,0,0,0,0,0,1,Low
1.101,1,0,0,0,0,0,1,Low
0.996,1,0,0,0,0,0,1,Low
0.939,1,0,0,0,0,0,1,Low
0.992,1,0,0,0,0,0,1,Low
1.13,1,0,0,0,0,0,1,Low
1.132,1,0,0,0,0,0,1,Low
1.013,1,0,0,0,0,0,1,Low
1.12,1,0,0,0,0,0,1,Low
1.015,1,0,0,0,0,0,1,Low
0.895,1,0,0,0,0,0,1,Low
0.943,1,0,0,0,0,0,1,Low
0.97,1,0,0,0,0,0,1,Low
1.137,1,0,0,0,0,0,1,Low
1.064,1,0,0,0,0,0,1,Low
0.987,1,0,0,0,0,0,1,Low
0.918,1,0,0,0,0,0,1,Low
0.945,1,0,0,0,0,0,1,Low
1.036,1,0,0,0,0,0,1,Low
1.032,1,0,0,0,0,0,1,Low
0.947,1,0,0,0,0,0,1,Low
1.017,1,0,0,0,0,0,1,Low
1.111,1,0,0,0,0,0,1,Low
1.084,1,0,0,0,0,0,1,Low
1.012,1,0,0,0,0,0,1,Low
1.08,1,0,0,0,0,0,1,Low
1.034,1,0,0,0,0,0,1,Low
1.112,1,0,0,0,0,0,1,Low
0.965,1,0,0,0,0,0,1,Low
1.084,1,0,0,0,0,0,1,Low
0.981,1,0,0,0,0,0,1,Low
1.052,1,0,0,0,0,0,1,Low
0.919,1,0,0,0,0,0,1,Low
0.899,1,0,0,0,0,0,1,Low
1.108,1,0,0,0,0,0,1,Low
0.99,1,0,0,0,0,0,1,Low
0.925,1,0,0,0,0,0,1,Low
0.985,1,0,0,0,0,0,1,Low
0.961,1,0,0,0,0,0,1,Low
1.003,1,0,0,0,0,0,1,Low
1.061,1,0,0,0,0,0,1,Low
1.13,1,0,0,0,0,0,1,Low
0.988,1,0,0,0,0,0,1,Low
1.104,1,0,0,0,0,0,1,Low
1.059,1,0,0,0,0,0,1,Low
1.116,1,0,0,0,0,0,1,Low
1.02,1,0,0,0,0,0,1,Low
0.97,1,0,0,0,0,0,1,Low
0.994,1,0,0,0,0,0,1,Low
0.982,1,0,0,0,0,0,1,Low
1.049,1,0,0,0,0,0,1,Low
1.121,1,0,0,0,0,0,1,Low
0.959,1,0,0,0,0,0,1,Low
0.981,1,0,0,0,0,0,1,Low
0.989,1,0,0,0,0,0,1,Low
0.904,1,0,0,0,0,0,1,Low
1.071,1,0,0,0,0,0,1,Low
1.099,1,0,0,0,0,0,1,Low
0.931,1,0,0,0,0,0,1,Low
1.012,1,0,0,0,0,0,1,Low
1.104,1,0,0,0,0,0,1,Low
0.987,1,0,0,0,0,0,1,Low
0.922,1,0,0,0,0,0,1,Low
1.124,1,0,0,0,0,0,1,Low
0.941,1,0,0,0,0,0,1,Low
1.086,1,0,0,0,0,0,1,Low
0.926,1,0,0,0,0,0,1,Low
0.931,1,0,0,0,0,0,1,Low
1.12,1,0,0,0,0,0,1,Low
1.039,1,0,0,0,0,0,1,Low
0.973,1,0,0,0,0,0,1,Low
1.572,1,0,0,0,0,0,1,Low
1.502,1,0,0,0,0,0,1,Low
1.549,1,0,0,0,0,0,1,Low
1.501,1,0,0,0,0,0,1,Low
1.398,1,0,0,0,0,0,1,Low
1.515,1,0,0,0,0,0,1,Low
1.561,1,0,0,0,0,0,1,Low
1.544,1,0,0,0,0,0,1,Low
1.572,1,0,0,0,0,0,1,Low
1.312,1,0,0,0,0,0,1,Low
1.288,1,0,0,0,0,0,1,Low
1.52,1,0,0,0,0,0,1,Low
1.498,1,0,0,0,0,0,1,Low
1.591,1,0,0,0,0,0,1,Low
1.59,1,0,0,0,0,0,1,Low
1.471,1,0,0,0,0,0,1,Low
1.59,1,0,0,0,0,0,1,Low
1.508,1,0,0,0,0,0,1,Low
1.377,1,0,0,0,0,0,1,Low
1.631,1,0,0,0,0,0,1,Low
1.531,1,0,0,0,0,0,1,Low
1.379,1,0,0,0,0,0,1,Low
1.431,1,0,0,0,0,0,1,Low
1.466,1,0,0,0,0,0,1,Low
1.554,1,0,0,0,0,0,1,Low
1.542,1,0,0,0,0,0,1,Low
1.574,1,0,0,0,0,0,1,Low
1.407,1,0,0,0,0,0,1,Low
1.533,1,0,0,0,0,0,1,Low
1.42,1,0,0,0,0,0,1,Low
1.322,1,0,0,0,0,0,1,Low
1.331,1,0,0,0,0,0,1,Low
1.296,1,0,0,0,0,0,1,Low
1.364,1,0,0,0,0,0,1,Low
1.415,1,0,0,0,0,0,1,Low
1.54,1,0,0,0,0,0,1,Low
1.356,1,0,0,0,0,0,1,Low
1.522,1,0,0,0,0,0,1,Low
1.589,1,0,0,0,0,0,1,Low
1.47,1,0,0,0,0,0,1,Low
1.598,1,0,0,0,0,0,1,Low
1.363,1,0,0,0,0,0,1,Low
1.552,1,0,0,0,0,0,1,Low
1.245,1,0,0,0,0,0,1,Low
1.515,1,0,0,0,0,0,1,Low
1.497,1,0,0,0,0,0,1,Low
1.545,1,0,0,0,0,0,1,Low
1.253,1,0,0,0,0,0,1,Low
1.38,1,0,0,0,0,0,1,Low
1.483,1,0,0,0,0,0,1,Low
1.324,1,0,0,0,0,0,1,Low
1.358,1,0,0,0,0,0,1,Low
1.477,1,0,0,0,0,0,1,Low
1.406,1,0,0,0,0,0,1,Low
1.246,1,0,0,0,0,0,1,Low
1.419,1,0,0,0,0,0,1,Low
1.382,1,0,0,0,0,0,1,Low
1.349,1,0,0,0,0,0,1,Low
1.393,1,0,0,0,0,0,1,Low
1.396,1,0,0,0,0,0,1,Low
1.585,1,0,0,0,0,0,1,Low
1.399,1,0,0,0,0,0,1,Low
1.437,1,0,0,0,0,0,1,Low
1.576,1,0,0,0,0,0,1,Low
1.408,1,0,0,0,0,0,1,Low
1.49,1,0,0,0,0,0,1,Low
1.22,1,0,0,0,0,0,1,Low
1.598,1,0,0,0,0,0,1,Low
1.3,1,0,0,0,0,0,1,Low
1.445,1,0,0,0,0,0,1,Low
1.295,1,0,0,0,0,0,1,Low
1.289,1,0,0,0,0,0,1,Low
1.56,1,0,0,0,0,0,1,Low
1.26,1,0,0,0,0,0,1,Low
1.303,1,0,0,0,0,0,1,Low
1.369,1,0,0,0,0,0,1,Low
1.408,1,0,0,0,0,0,1,Low
1.462,1,0,0,0,0,0,1,Low
1.267,1,0,0,0,0,0,1,Low
1.42,1,0,0,0,0,0,1,Low
1.435,1,0,0,0,0,0,1,Low
1.358,1,0,0,0,0,0,1,Low
1.397,1,0,0,0,0,0,1,Low
1.407,1,0,0,0,0,0,1,Low
1.381,1,0,0,0,0,0,1,Low
1.437,1,0,0,0,0,0,1,Low
