target_type,flow_type,scenario_type,device_type,platform_name,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,app_launch_time_ms,screen_load_time_ms,feedback_delay_ms,interaction_response_time_ms,finish_time_ms,error_message_present,error_message_clarity,popup_detected,overlay_blocks_action,timeout_occurred,crash_detected,anr_detected,friction_level_prediction,run_index,friction_level
android_application,login,good,android_emulator,Android,1,0,4.13,5,1,2,0,0,0,0,0.026,793,555,560,447,4262,0,none,0,0,0,0,0,,1,Low
android_application,login,medium,android_emulator,Android,1,0,9.8,5,1,2,1,1,0,1,0.391,1511,1913,1817,1377,9881,1,medium,0,0,0,0,0,,1,Medium
android_application,login,bad,android_emulator,Android,0,1,48.35,8,0,2,4,6,2,2,0.909,1739,5551,10805,11002,48419,1,clear,0,0,1,0,1,,1,High
android_application,signup,good,android_emulator,Android,1,0,11.01,11,1,5,2,0,3,3,0.217,727,659,2084,1582,11075,0,none,1,1,0,0,0,,1,Low
android_application,signup,medium,android_emulator,Android,1,0,15.68,8,2,4,0,2,1,1,0.524,1264,1194,1527,1449,15532,1,medium,1,0,0,0,0,,1,Medium
android_application,signup,bad,android_emulator,Android,0,1,40.33,16,4,4,6,4,7,6,0.981,2914,3434,10491,8972,40164,1,vague,1,1,0,0,1,,1,High
android_application,search,good,android_emulator,Android,1,0,6.26,5,1,2,0,0,0,0,0.137,626,606,413,479,6333,0,none,0,0,0,0,0,,1,Low
android_application,search,medium,android_emulator,Android,1,0,15.62,8,5,2,2,1,3,4,0.672,1025,1615,3793,2756,16056,1,medium,1,1,0,0,0,,1,Medium
android_application,search,bad,android_emulator,Android,0,1,24.07,10,4,2,2,3,3,3,1.0,1825,3158,7058,9134,23903,0,none,0,0,0,0,1,,1,High
android_application,button_click,good,android_emulator,Android,1,0,4.39,3,0,0,0,0,0,0,0.083,764,663,255,312,4341,0,none,0,0,0,0,0,,1,Low
android_application,button_click,medium,android_emulator,Android,0,1,14.25,4,0,0,2,2,1,1,0.573,1363,1796,1133,2334,14098,1,medium,0,0,0,0,0,,1,Medium
android_application,button_click,bad,android_emulator,Android,0,1,42.35,13,1,0,7,2,7,8,1.0,1676,6161,9692,9191,42110,1,vague,1,1,1,0,0,,1,High
android_application,form_submit,good,android_emulator,Android,0,1,10.63,9,1,3,1,1,0,0,0.221,615,984,400,495,10753,1,vague,0,0,0,0,0,,1,Low
android_application,form_submit,medium,android_emulator,Android,1,0,32.49,16,2,3,6,3,2,4,0.78,1708,3864,4560,5462,32439,1,vague,1,1,1,0,0,,1,Medium
android_application,form_submit,bad,android_emulator,Android,1,0,26.88,11,1,4,3,4,2,5,0.814,2042,4071,4170,5877,27095,1,medium,0,0,0,0,0,,1,High
android_application,login,good,android_emulator,Android,1,0,4.08,4,1,2,0,0,0,0,0.013,586,777,171,298,3781,0,none,0,0,0,0,0,,2,Low
android_application,login,medium,android_emulator,Android,0,1,15.0,2,1,2,0,2,1,0,0.276,1516,1870,1202,1681,15020,1,clear,0,0,0,0,0,,2,Medium
android_application,login,bad,android_emulator,Android,0,1,50.36,18,1,2,8,6,3,5,1.0,2703,7262,9910,13539,50415,1,medium,1,1,1,0,1,,2,High
android_application,signup,good,android_emulator,Android,1,0,7.15,5,2,5,0,0,0,0,0.105,1182,931,262,519,7272,0,none,0,0,0,0,0,,2,Low
android_application,signup,medium,android_emulator,Android,0,1,17.49,9,1,5,3,2,0,2,0.542,1230,1209,967,1807,17334,0,none,0,0,0,0,0,,2,Medium
android_application,signup,bad,android_emulator,Android,0,1,39.09,11,4,4,3,6,3,6,0.875,3921,7446,7621,6836,39215,1,vague,1,0,1,0,0,,2,High
android_application,search,good,android_emulator,Android,1,0,8.34,4,3,2,0,0,0,0,0.177,910,759,538,607,8303,0,none,0,0,0,0,0,,2,Low
android_application,search,medium,android_emulator,Android,1,0,13.78,9,3,2,3,0,3,2,0.779,1528,1432,1849,2231,13609,0,none,1,1,0,0,0,,2,Medium
android_application,search,bad,android_emulator,Android,1,0,30.49,11,3,2,5,2,3,4,0.918,1971,5626,8092,10208,30503,1,medium,0,0,1,0,0,,2,High
android_application,button_click,good,android_emulator,Android,1,0,3.57,2,1,0,1,0,1,0,0.057,922,474,336,971,3607,0,none,0,0,0,0,0,,2,Low
android_application,button_click,medium,android_emulator,Android,0,1,10.67,4,0,0,1,2,2,2,0.303,1117,2088,1106,2141,10717,1,medium,0,0,0,0,0,,2,Medium
android_application,button_click,bad,android_emulator,Android,0,1,20.95,8,0,0,4,4,3,3,0.83,2835,5785,4042,6552,21095,1,vague,0,0,0,0,0,,2,High
android_application,form_submit,good,android_emulator,Android,1,0,9.69,5,1,3,0,1,1,0,0.093,699,432,443,656,9732,1,clear,0,0,0,0,0,,2,Low
android_application,form_submit,medium,android_emulator,Android,0,1,23.49,6,1,4,0,1,2,0,0.467,2038,2249,916,1292,23361,1,medium,0,0,0,0,0,,2,Medium
